id,text,label
4694,தமிழ்நாடுக்கு சிறப்பு அதிகாரம் வேண்டும்.வடக்கன் வேலைக்கு வரலாம் இங்கே இருக்கலாம் ஆனால் தமிழனுக்கு மட்டுமே முதல் உரிமை,0
3725,Holi festival  .so they go to native. 12 hours  work in tirupur. Dmk first  control mill owners  to 8 hours  shift.,0
2469,"மதம், இனம், மொழி, நாடு, சாதி, பணக்காரன், ஏழை, எல்லாமே வேறுபாடு தான். என்னை பொறுத்தவரை மனிதம் கூட ஓர் வேறுபாடு தான். அண்டத்தில் வாழும் அத்துணை உயிரும் ஒன்னு தான். எல்லாமே ஒரு சுழற்சிக்கு உட்பட்டது தான். வேர்வை சிந்தி உழைக்கும் எல்லாரும் உயரனும் அது நீயோ நானோ. அன்பே சிவம் 🙏🏼",1
2637,Like this one day all these North Indias are going to chase every Tamilians from Tamilian Nadu. This is very dangerous. Need to probe into this and I request that all the Tamil people not to give these North Indians any accommodation.  We need to save our Rights and control North Indians heavy migration. These people are hooligans.,1
244,### I use to respect tamilians a lost but the way they r doing killing North Indian people has really hurted me all have life family  u all kill inccent people 😔 😢 💔 😪,0
5294,இவர்கள் சொல்வது எல்லாம் உண்மையான காரணமில்லை முதலாளிகள் தான் காரணம் காலை ஆறுமணியில் இரவுஒன்பதுமணி வரை  கேள்வி கேட்காமல்உழைப்பதால் அவர்களைத்தான் தேடுகிறார்கள்.,0
592,ஜாதி பெருமையை பேசிக்கொண்டு இருப்பார்கள் இவர்கள் வந்தால் தான் இவர்களை அடக்க முடியும் சரிதான் வணக்கம் ஒரு அடிச்சு துவைக்க போறாங்க வடக்கின்ஸ் மோசமான ஆட்கள்,1
5192,வட மாநிலத்தவனை கட்டுப்படுத்த விட்டால் தமிழ்நாட்டு மக்கள் பல விளைவுகளை சந்திக்க நேரிடும்.,0
1987,polaikavantha marvadikku yavvalavu thimuru. Nam thamilar aachithan enimea.,1
1268,Tamilnadu azhiyarathu Kan munadi theridhu 🤦🤦🤦,0
7764,"Onnu paithiyam, onnu psycho aga mothaam renduthukum treatment pannanum ...  modhalla olunga school ponga da dei....",0
6568,Prakash நீ இன்னும் கோமனத்தோடுதான் சுத்துரியா? காலம் மாறும் போது நாமும் மாறுவோம். அதுபோல இந்த சாதிப்பெயரும் மாறும்.சானான் இன்று நாடாரா மாறவில்லையா? பிள்ளை இப்ப வெள்ளாளரா மாறவில்லையா? காழ்ப்புணர்ச்சியோடு எதையும் பார்க்காதீர்கள்.உதவி செய்யாவிட்டாலும் பரவாயில்லை உபத்திரம் செய்யாதீர்.,0
7297,பிஜேபி இந்து மோடி மக்களுக்கு நல்லது செய்வதை விட்டு விட்டு இந்த பிரச்சினையை தீர்த்து வைப்பார் 😅😅😂😂,0
1094,"இந்தி மொழியை சட்டரீதியாக திணிக்க முடியாது என்பதால் இந்திவாலாக்களை திணிக்க ஆரம்பித்து விட்டார்கள் 
இவர்களால் 
தமிழ்நாட்டின் பல கோடி ரூபாய்  வட நாட்டுக்கு செல்வதை எந்த தமிழனும் உணர்வதாக இல்லை",0
969,Vellore koda niraya peru irukkanga,0
6086, @shrikanspeaks7631  arivaali kandupidichittaaru,0
7330,டேய் வடக்கன அடிச்சு விரட்டுங்கட நா பறையன் தாண்ட இருந்தாலும் தமிழ் இனத்தை சேர்தவண்டா சொன்னா கேளுங்க டா அவ நமக்குள்ள வேண்டா தவவு செஞ்சு திறந்துங்கடா,1
3178,"வேளை இருக்கட்டும் ticket இல்லாம கூட்டமா ஓசில போறது.,நகை கொள்ளை ஏடிஎம் மெசின் கொள்ளை கற்பழித்து மீனவ பெண் எரிப்பு சொல்லிட்டே போலாம் வேளைக்கு வந்த இடத்துல இவ்வளவு ஒழுக்கமா நடந்துக்குற ஆளுக்கு இங்க நம்ம ஆளே support வேற🤬",1
6751,Kandipaga agamudaiyar sangam venum agamudaiyar trust start soon,0
4751,டேய்.... இந்த மாறி வீடியோ போட்டு Fake Promotion பண்ணாதீங்க டா,1
5755,ok hindi peoples ku toll free helpline number apo namaku tamil peoples ku problem vanta ena helpline number,1
4515,Namma Orr la ...sapatuke vazhi erukaathu Rozham athigamma erukum ....aana avanunga ...50rubaiku kasta padranga ...ithe Inga erukuravanga kasta paduvanungala,1
431,Apdiaa? Sari apa uzhaikaama sambaarika youtube iruke... part time aa adhu pannalame neenga... easy aa kaasu varume... pannunga ji...,0
4913,En 💩💩💩 peeyala fried rice 🍳🍚 omlete pottu irukean  friends.yaravathu sapduringala friends Nalla strength kedaikum🤣🤣🤣,0
2861,மும்பை ல taxi ஒற்றவன் எல்லாம் தமிழ் காரன் அவனுங்கல மும்பைய விட்டு தொறதிடலாமா??? போய் சென்னை ல வேலை செய்னு??????,0
3006, @manivannan9781  yepdi ivanunga kuda serndhu beeda pottu thuppanum adhu dhana,1
803,"Ippadiye solli tamilanai izhivu paduthuvathey indha sangi kumbal,dhaanda, tamilians are getting educated, they want better life, mostly looking for decent job.",0
1097,it's nothing wrong people travel to earn money but in same time native people also need work hard for better life...lucky Brother you know hindi to communicate to Vadakans...Nice review,0
5538,என்ன ஒரு மனிதநேயம். ஏன் இந்த நேயம் எங்கள் (தமிழர்கள்) மீது இல்லை. தமிழன் எப்படி போனா என்ன.,1
5705,"ஒன்றிய அரசு மாதிரி,சரியான தமிழ் வார்த்தை போட்டு சொல்லு டா",0
5131,Adei vadakka... un english'laye theriyudhu nee vadakan'dhannu😅,1
